Date,VIX,SKEW,GEPU,DTB3,GS10,HY_SPREAD,INDPRO,CPI,UNRATE
2010-09-13,21.209999084472656,121.89,132.5702002,0.15,2.65,6.36,92.8533,218.275,9.5
2010-09-14,21.559999465942383,120.98,132.5702002,0.15,2.65,6.36,92.8533,218.275,9.5
2010-09-15,22.100000381469727,119.74,132.5702002,0.15,2.65,6.31,92.8533,218.275,9.5
2010-09-16,21.719999313354492,124.32,132.5702002,0.16,2.65,6.25,92.8533,218.275,9.5
2010-09-17,22.010000228881836,124.9,132.5702002,0.16,2.65,6.24,92.8533,218.275,9.5
2010-09-20,21.5,124.88,132.5702002,0.17,2.65,6.25,92.8533,218.275,9.5
2010-09-21,22.350000381469727,122.81,132.5702002,0.17,2.65,6.32,92.8533,218.275,9.5
2010-09-22,22.510000228881836,121.75,132.5702002,0.16,2.65,6.35,92.8533,218.275,9.5
2010-09-23,23.8700008392334,121.57,132.5702002,0.16,2.65,6.37,92.8533,218.275,9.5
2010-09-24,21.709999084472656,123.0,132.5702002,0.15,2.65,6.32,92.8533,218.275,9.5
2010-09-27,22.540000915527344,120.21,132.5702002,0.16,2.65,6.36,92.8533,218.275,9.5
2010-09-28,22.600000381469727,121.69,132.5702002,0.16,2.65,6.36,92.8533,218.275,9.5
2010-09-29,23.25,119.27,132.5702002,0.16,2.65,6.29,92.8533,218.275,9.5
2010-09-30,23.700000762939453,120.48,132.5702002,0.16,2.65,6.26,92.8533,218.275,9.5
2010-10-01,22.5,119.61,122.7594041,0.16,2.54,6.22,92.6033,219.035,9.4
2010-10-04,23.530000686645508,118.29,122.7594041,0.13,2.54,6.23,92.6033,219.035,9.4
2010-10-05,21.760000228881836,117.77,122.7594041,0.12,2.54,6.18,92.6033,219.035,9.4
2010-10-06,21.489999771118164,116.57,122.7594041,0.13,2.54,6.15,92.6033,219.035,9.4
2010-10-07,21.559999465942383,116.69,122.7594041,0.13,2.54,6.13,92.6033,219.035,9.4
