Date,Close,SMA_20,EMA_20,MACD,MACD_Signal,MACD_Hist,RSI,ROC,BB_Width,ATR,OBV
2010-08-10,34.834754943847656,33.90417251586914,34.0297849557066,0.742532548457767,0.6702048252291072,0.07232772322865977,64.1762668389726,3.469659023555247,11.162726685109801,0.595619382853504,-160108400
2010-08-11,33.24898147583008,33.90352039337158,33.95542271952789,0.5877736254019439,0.6537185852636745,-0.06594495986173066,45.7476528798206,-1.9249158048360038,11.168212283725683,0.6700737919353041,-200626700
2010-08-12,33.2098274230957,33.892753219604494,33.884413643677206,0.45670208175943827,0.6143152845628272,-0.15761320280338897,45.40099280250669,-2.3224588768990766,11.249435806230963,0.647848438502261,-222665700
2010-08-13,33.09235763549805,33.929623985290526,33.80897973813633,0.3394353100173788,0.5593392896537376,-0.21990397963635877,44.315993039499986,-2.160916486006639,10.681949338932446,0.6239477180003712,-241534900
2010-08-16,33.35990905761719,33.96943054199219,33.76621110189641,0.26503455887834804,0.5004783434986597,-0.23544378462031168,47.399332308169704,-1.8244942896637135,10.14562847321963,0.6134074087920091,-224900100
2010-08-17,33.73188781738281,34.01674270629883,33.76294221765702,0.23339655453273878,0.44706198570547556,-0.21366543117273679,51.42638081060917,-0.4238169924984077,9.645717564573255,0.60968028796348,-211269500
2010-08-18,33.718841552734375,34.09309406280518,33.75874215433105,0.20490842683094712,0.39863127393056985,-0.19372284709962273,51.27810159932457,-3.7085405041732655,8.337275069494474,0.5922349864143523,-225410100
2010-08-19,33.17720031738281,34.08819999694824,33.70335721747884,0.13704568205840673,0.34631415555613726,-0.20926847349773053,45.42245177342659,-5.113847620144849,8.408047364549985,0.6077325660024215,-246246500
2010-08-20,32.831336975097656,34.04643497467041,33.6203076705854,0.05472485264340321,0.28799629497359047,-0.23327144233018726,42.11525460796699,-6.190536191229418,8.961246837156759,0.6034776871459411,-262613400
2010-08-23,32.76607131958008,33.98966064453125,33.53895182763251,-0.01560154580158013,0.22727672681855637,-0.2428782726201365,41.501188814506,-6.307178645255725,9.556800927387062,0.5925349750422119,-275944600
2010-08-24,32.31578826904297,33.90547752380371,33.42246006014779,-0.10644279595600636,0.16053282226364385,-0.2669756182196502,37.444690506894396,-7.869783397922658,10.502273323687671,0.5991547940068617,-297604200
